uniprot_id,target,chembl_raw,bindingdb_raw,pubchem_raw,total_raw,reached_chembl_quota
P41743,PRKCI,564,0,0,564,True
P31749,AKT1,997,0,0,997,True
P51812,RPS6KA3 (RSK2),508,0,0,508,True
O00329,PKCθ (PRKCQ),990,0,0,990,True
P05771,PKCβ (PRKCB),687,0,0,687,True
P31751,AKT2,1000,0,0,1000,True
Q9BUB5,SGK2,1000,0,0,1000,True
Q9P1W9,SGK1,1000,0,0,1000,True
Q13464,ROCK1,1000,0,0,1000,True
P34947,GRK5,238,0,0,238,False
O75116,ROCK2,1000,0,0,1000,True
O15530,PDPK1 (PDK1),1000,0,0,1000,True
P00533,ErbB1,1000,0,0,1000,True
P04626,ErbB2,990,0,0,990,True
Q15303,ErbB4,286,0,0,286,False
P35968,VEGFR2 (KDR),999,0,0,999,True
P17948,VEGFR1 (FLT1),995,0,0,995,True
P11362,FGFR1,1000,0,0,1000,True
P21802,FGFR2,1000,0,0,1000,True
P22455,FGFR4,1000,0,0,1000,True
P17612,PRKACA,108,0,0,108,False
P00519,ABL1,1000,0,0,1000,True
Q9UM73,ALK,1000,0,0,1000,True
Q16832,DDR2,379,0,0,379,True
P29597,TYK2,999,0,0,999,True
P52333,JAK3,986,0,0,986,True
P08581,MET,990,0,0,990,True
P07948,LYN,446,0,0,446,True
P10721,KIT,1000,0,0,1000,True
Q08345,DDR1,1000,0,0,1000,True
Q08881,ITK,1000,0,0,1000,True
P08631,HCK,508,0,0,508,True
P04629,NTRK1 (TRKA),999,0,0,999,True
P35590,TIE1,9,0,0,9,False
O96013,PAK4,203,0,0,203,False
Q16288,NTRK3 (TRKC),413,0,0,413,True
Q9UKE5,ZC2/TNIK,503,0,0,503,True
Q92918,MAP4K1 (HPK1),999,0,0,999,True
P22612,PRKACG,6,0,0,6,False
Q9NQU5,SGK3,11,0,0,11,False
Q13188,STK24 (MST3),176,0,0,176,False
Q9UK32,RPS6KA6 (RSK4),66,0,0,66,False
Q13153,PAK1,295,0,0,295,False
O95819,MAP4K4,860,0,0,860,True
Q9H4A3,MAST1,26,0,0,26,False
P53778,MAP3K14 (NIK),174,0,0,174,False
Q02750,MAP2K1,1000,0,0,1000,True
Q99683,MAP3K5,1000,0,0,1000,True
P41279,MAP3K8 (COT),268,0,0,268,False
Q12852,M3KI2,104,0,0,104,False
Q9NYL2,MAP3K2 (MEKK2),94,0,0,94,False
Q14004,MAP3K7 (TAK1),136,0,0,136,False
Q16584,MAP2K5 (MEK5),229,0,0,229,False
P49137,MAP2K1 (MEK1),999,0,0,999,True
Q14289,FAK2,302,0,0,302,True
Q9UEW8,STK39 (SPAK),34,0,0,34,False
O95747,MAP4K2 (GCK),4,0,0,4,False
Q9Y6E0,STK25,23,0,0,23,False
O96017,CHK2,692,0,0,692,True
Q9HBH9,MKNK2,1000,0,0,1000,True
Q9UEE5,STK17A,155,0,0,155,False
P11309,PIM1,1000,0,0,1000,True
O94768,STK17B(DRAK2),165,0,0,165,False
P52564,MAP2K6,18,0,0,18,False
O94804,STK10 (LOK),16,0,0,16,False
Q13557,CAMK2D,166,0,0,166,False
O15146,OXSR1,14,0,0,14,False
Q13163,MAP2K5,21,0,0,21,False
Q9P286,PAK5,12,0,0,12,False
Q14012,CAMK1,17,0,0,17,False
Q96NX5,CAMK1G,12,0,0,12,False
Q9UQM7,CAMK2A,40,0,0,40,False
Q13554,CAMK2B,16,0,0,16,False
O14936,CASK,9,0,0,9,False
Q9UIK4,DAPK2,19,0,0,19,False
P53355,DAPK1,60,0,0,60,False
P27448,MARK3,89,0,0,89,False
O43293,DAPK3,48,0,0,48,False
Q9P0L2,MARK1,18,0,0,18,False
Q7KZI7,MARK2,27,0,0,27,False
Q96L34,MARK4,66,0,0,66,False
Q9Y572,CHK2 (CHEK2),212,0,0,212,False
Q13131,PRKAA1 (AMPKa1),45,0,0,45,False
O00506,STK11 (LKB1),14,0,0,14,False
Q86YV6,MYLK4,38,0,0,38,False
Q8IU85,CAMK1D (CaMK1d),161,0,0,161,False
Q9H0K1,SIK2,160,0,0,160,False
Q9Y5S2,MRCKB,3,0,0,3,False
Q09013,DMPK,10,0,0,10,False
O15075,DCLK1,40,0,0,40,False
Q15375,MAPKAPK2,17,0,0,17,False
Q9Y2K2,SIK3,137,0,0,137,False
Q9H2G2,NUAK1,21,0,0,21,False
Q96GD4,AURKB,987,0,0,987,True
Q14680,MELK,936,0,0,936,True
Q86V86,PIM3,1000,0,0,1000,True
Q6PHR2,ULK3,9,0,0,9,False
Q00535,CDK5,345,0,0,345,True
Q00534,CDK6,946,0,0,946,True
P11802,CDK4,975,0,0,975,True
P54646,PRKAA2 (AMPKa2),29,0,0,29,False
P49336,CDK8,400,0,0,400,True
Q9NYV4,CDK12 (CRK7),200,0,0,200,False
P24941,CDK2,991,0,0,991,True
Q9Y2H9,NUAK2,3,0,0,3,False
P24723,KPCL,251,0,0,251,False
Q8TDC3,BRSK1,13,0,0,13,False
P50613,CDK7,502,0,0,502,True
P50750,CDK9,992,0,0,992,True
P06493,CDK1,996,0,0,996,True
P45984,MAPK9 (JNK2),865,0,0,865,True
Q16539,MAPK14 (p38a),1000,0,0,1000,True
Q8IWQ3,BRSK2,11,0,0,11,False
Q16566,CAMK4,13,0,0,13,False
O43781,DYRK3,383,0,0,383,True
Q9UQB9,AURKC,66,0,0,66,False
P27361,MAPK3 (ERK1),350,0,0,350,True
Q13627,DYRK1A,1000,0,0,1000,True
Q9Y463,DYRK1B,886,0,0,886,True
Q15759,MAPK11,254,0,0,254,False
Q13164,MAPK7,225,0,0,225,False
P45983,MAPK8(JNK1),1000,0,0,1000,True
P53779,MAPK10,1000,0,0,1000,True
P28482,MK01,998,0,0,998,True
Q99558,MAPK7 (ERK5),686,0,0,686,True
Q96SB4,SRPK1,212,0,0,212,False
P49760,CLK2,598,0,0,598,True
P49761,CLK3,328,0,0,328,True
Q9HAZ1,CLK4,625,0,0,625,True
P19784,CSNK2A2,363,0,0,363,True
O94921,CDK14,15,0,0,15,False
Q00536,CDK16,7,0,0,7,False
Q07002,CDK18,4,0,0,4,False
Q00537,CDK17,4,0,0,4,False
P51955,NEK2,239,0,0,239,False
P30291,WEE1,1000,0,0,1000,True
Q92630,DYRK2,613,0,0,613,True
P49840,GSK3β,997,0,0,997,True
Q9NYY3,PLK2,220,0,0,220,False
P49759,CLK1,866,0,0,866,True
P33981,TTK (MPS1),999,0,0,999,True
Q9P2K8,EIF2AK4 (GCN2),427,0,0,427,True
Q9H2X6,HIPK2,76,0,0,76,False
Q9H4B4,PLK3,228,0,0,228,False
O75385,ULK1,333,0,0,333,True
