uniprot_id,inchikey,assay_source,source_priority,pIC50,ic50_nm,n_measurements,pIC50_std,assay_id,canonical_smiles,activity_label,target,pdb_id,protein_status,feature_status,retained_reason,smiles
O00238,NJSRQYMTTJJEJH-OYSWMMLKSA-N,chembl,0,5.4,3981.071705534969,2,0.0,CHEMBL5735472,COCCN1C[C@@H]2C[C@]2(c2ccc(-c3cnc(N)c(C(=O)N[C@H]4CC[C@H](O)CC4)c3)cc2)C1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,COCCN1C[C@@H]2C[C@]2(c2ccc(-c3cnc(N)c(C(=O)N[C@H]4CC[C@H](O)CC4)c3)cc2)C1
O00238,CCKKGJFQFLRASM-VAMCUKFASA-N,chembl,0,5.4,3981.071705534969,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCF)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCF)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2
O00238,GVKXHJBRWOYLAK-UHFFFAOYSA-N,chembl,0,5.62,2398.83291901949,1,0.16970562748477155,CHEMBL5739333,Cc1cc(-c2cnn3cc(N4CCC(N5CCN(C)CC5)CC4)cnc23)c2ccccc2n1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Cc1cc(-c2cnn3cc(N4CCC(N5CCN(C)CC5)CC4)cnc23)c2ccccc2n1
O00238,KPRPFTOLWQQUAV-GXLPGVSKSA-N,chembl,0,5.39,4073.8027780411303,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(C3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(C3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2
O00238,SRPLSQLPBCVKSL-UHFFFAOYSA-N,chembl,0,5.0,10000.0,2,0.0,CHEMBL5735472,CN1CCN(CCNC(=O)c2ccc(-c3cnc(N)c(C(=O)NC4CCCCC4)c3)cc2)CC1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,CN1CCN(CCNC(=O)c2ccc(-c3cnc(N)c(C(=O)NC4CCCCC4)c3)cc2)CC1
O00238,ULQWBLKUEAKIFZ-UHFFFAOYSA-N,chembl,0,5.11,7762.471166286911,1,0.16970562748477155,CHEMBL5734194,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCNCC5)cn4)cnc23)c2cccnc2c1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCNCC5)cn4)cnc23)c2cccnc2c1
O00238,GAIBPGQSYNAFNN-BVPJRLQBSA-N,chembl,0,5.54,2884.031503126606,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCN3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCN3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2
O00238,JFDSOYMKCLUKEJ-VVEDBRRQSA-N,chembl,0,5.52,3019.951720402019,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCN3CCOCC3)C4)cc2)cc1C(=O)N[C@H]1CC[C@H](O)CC1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCN3CCOCC3)C4)cc2)cc1C(=O)N[C@H]1CC[C@H](O)CC1
O00238,BAGWVDYVFGYURF-JCNLHEQBSA-N,chembl,0,5.4,3981.071705534969,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc(N3CCNCC3)cc2F)cc1C(=O)N[C@H]1CC[C@H](O)CC1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc(N3CCNCC3)cc2F)cc1C(=O)N[C@H]1CC[C@H](O)CC1
O00238,FCURQEMLQWEPFI-VWDBNSKXSA-N,chembl,0,5.6,2511.886431509582,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCCN3CCOCC3)C4)cc2)cc1C(=O)N[C@H]1CC[C@H](O)CC1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@]34C[C@H]3CN(CCCN3CCOCC3)C4)cc2)cc1C(=O)N[C@H]1CC[C@H](O)CC1
O00238,VPYFVDBWVBPVOQ-DNHRDODTSA-N,chembl,0,5.0,10000.0,2,0.0,CHEMBL5735472,C[C@@H]1CCCN1Cc1ccc(-c2cnc(N)c(C(=O)N[C@H]3CC[C@](C)(O)CC3)c2)c(Cl)c1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,C[C@@H]1CCCN1Cc1ccc(-c2cnc(N)c(C(=O)N[C@H]3CC[C@](C)(O)CC3)c2)c(Cl)c1
O00238,PISUPWGJJGVRQG-UHFFFAOYSA-N,chembl,0,5.94,1148.1536214968817,1,0.16970562748477155,CHEMBL5577685,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)cccc2c1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)cccc2c1
O00238,VYIZLEBMEIYFLA-IUBQTAPSSA-N,chembl,0,5.0,10000.0,2,0.0,CHEMBL5735472,C[C@H](c1ccc(-c2cnc(N)c(C(=O)N[C@]3(C)CC[C@@H](O)CC3)c2)cc1)N1CC2(COC2)C1,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,C[C@H](c1ccc(-c2cnc(N)c(C(=O)N[C@]3(C)CC[C@@H](O)CC3)c2)cc1)N1CC2(COC2)C1
O00238,RIGIHWPKCOSNDD-UHFFFAOYSA-N,chembl,0,5.68,2089.2961308540407,1,0.16970562748477155,CHEMBL5122001,Nc1ncc(-c2ccc(CN3CCC(N4CCOCC4)CC3)cc2Cl)nc1C(=O)NC12CCC(O)(CC1)CC2,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc(CN3CCC(N4CCOCC4)CC3)cc2Cl)nc1C(=O)NC12CCC(O)(CC1)CC2
O00238,KPRPFTOLWQQUAV-OCVAFRRMSA-N,chembl,0,5.48,3311.311214825908,2,0.0,CHEMBL5735472,Nc1ncc(-c2ccc([C@@]34C[C@@H]3CN(C3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2,inactive,BMR1B,3MDY,retained,pending,passed_all_stages,Nc1ncc(-c2ccc([C@@]34C[C@@H]3CN(C3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2
O00311,SPHUUYHGTSDETH-UHFFFAOYSA-N,chembl,0,5.57,2691.534803926914,1,0.16970562748477155,CHEMBL2353507,N#Cc1ccc2ccn(-c3cc(N)ncn3)c2c1,inactive,CDC7,4F99,retained,pending,passed_all_stages,N#Cc1ccc2ccn(-c3cc(N)ncn3)c2c1
O00311,QNZSVEIPQWPBJO-UHFFFAOYSA-N,chembl,0,5.33,4677.351412871981,1,0.16970562748477155,CHEMBL2353507,Nc1nccc(-n2ccc3ccccc32)n1,inactive,CDC7,4F99,retained,pending,passed_all_stages,Nc1nccc(-n2ccc3ccccc32)n1
O00311,FDNXNRKRVIHOKQ-JTQLQIEISA-N,chembl,0,2.8696662315049934,1350000.0,1,0.16970562748477155,CHEMBL2034660,Cc1cc(Br)cc2c1oc1c(=O)[nH]c(CN3CC[C@H](O)C3)nc12,inactive,CDC7,4F99,retained,pending,passed_all_stages,Cc1cc(Br)cc2c1oc1c(=O)[nH]c(CN3CC[C@H](O)C3)nc12
